# ERC-20 INACTIVITY denylist — (chain_id, address) pairs pruned for being dead.
# Generated from a 30-day Alchemy transfer screen + provenance triage
# (tools/scan_erc20_alchemy_activity.py -> tools/triage_erc20_activity.py).
# These are NOT scams (unlike erc20_impersonator_denylist.txt) — they are
# tokens with 0 transfers in the window and low provenance (Li.Fi/db-only or
# a single curated DEX list), carrying no blue-chip ticker and not CoinGecko-
# listed. Re-evaluable: a token reviving could justify removing its line.
# Format: <chain_id> <address>  # <tier> <symbol> <reason>
1 0x1C0c0dA2C46a36CE5537175477252E7909032710  # SAFE_DROP PT-tBTC-18DEC2025 0 transfers; low provenance (lifi)
1 0x1C6Bfb648483A658781bf90fba460b28ef3FfA8E  # SAFE_DROP YCETH 0 transfers; low provenance (lifi)
1 0x1c79ab32C66aCAa1e9E81952B8AAa581B43e54E7  # SAFE_DROP TEAM 0 transfers; low provenance (lifi)
1 0x1C97e67Dc7ca179aE82E0c4AFF4Af9ff66612A43  # SAFE_DROP yvCurve-PALETH-f-f 0 transfers; low provenance (lifi)
1 0x1Ca14f9830292f5e0228FC20F17d11AE457f503F  # REVIEW OMETA 0 transfers; curated by optimism_super
1 0x1D2DAC9a2582E35463C12Cd5FDf175AFc7BB4F3A  # SAFE_DROP SNAX 0 transfers; low provenance (lifi)
1 0x1d350417d9787E000cc1b95d70E9536DcD91F373  # SAFE_DROP mIAU 0 transfers; low provenance (lifi)
1 0x1DB6e3Ea822c093A93240880DA037C0F421d05D1  # SAFE_DROP SSY 0 transfers; low provenance (lifi)
1 0x1e0275806C3CD0bDb5C99916A064d36b5e8eAE8d  # REVIEW TWO 0 transfers; curated by sushi_ethereum
1 0x1e05f68B29b286FB3BbAd3c688D7e2ABda549b80  # SAFE_DROP PICIPO 0 transfers; low provenance (lifi)
1 0x1E2aAaDcF528b9cC08F43d4fd7db488cE89F5741  # SAFE_DROP 9SUSDC11Core 0 transfers; low provenance (lifi)
1 0x1e33dBA7cd47e79C4385Ba39442A693B910a0A8a  # REVIEW CELO 0 transfers; curated by sushi_ethereum
1 0x1e4746dC744503b53b4A082cB3607B169a289090  # REVIEW IPOR 0 transfers; curated by optimism_super
1 0x1e548CfcE5FCF17247E024eF06d32A01841fF404  # SAFE_DROP esUSDS-3 0 transfers; low provenance (lifi)
1 0x1E6bb68Acec8fefBD87D192bE09bb274170a0548  # SAFE_DROP aAMPL 0 transfers; low provenance (lifi)
1 0x1eA6E1ba21601258401d0B9DB24eA0a07948458e  # REVIEW stataEthLDO 0 transfers; curated by 1inch_1,lifi
1 0x1F46186AF85A967416b17380800c69860B7C516F  # SAFE_DROP eYU-1 0 transfers; low provenance (lifi)
1 0x1F6DEADcb526c4710Cf941872b86dcdfBbBD9211  # SAFE_DROP RTK 0 transfers; low provenance (lifi)
1 0x1f79Bc2bf1FacF86410A8f18CcCA7e0ee01ABC7E  # SAFE_DROP PT-reUSDe-18DEC2025 0 transfers; low provenance (lifi)
1 0x1Fc31488f28ac846588FFA201cDe0669168471bD  # SAFE_DROP UAX 0 transfers; low provenance (lifi)
1 0x202f1877e1DB1120Ca3e9A98C5D505e7f035C249  # SAFE_DROP ZUZ 0 transfers; low provenance (lifi)
1 0x206db0A0Af10Bec57784045e089A418771D20227  # SAFE_DROP ysUSDT 0 transfers; low provenance (lifi)
1 0x2071F8864B270Bd1f0567C14Ab7F00543699A1C5  # SAFE_DROP UNI-V2 0 transfers; low provenance (lifi)
1 0x208bbb6bCEA22ef2011789331405347394EbAa51  # SAFE_DROP 1AI 0 transfers; low provenance (lifi)
1 0x209C28798CD14Dda47F384Df102a24da0e76e0d4  # SAFE_DROP esUSDaf-1 0 transfers; low provenance (lifi)
1 0x211711F277f146fC947D7053B41BB71BB5b5FC2C  # SAFE_DROP eWETH-33 0 transfers; low provenance (lifi)
1 0x214B47C50057eFaa7adc1B1C2608C3751Cd77D78  # SAFE_DROP aprUSDC 0 transfers; low provenance (lifi)
1 0x217BED0d3A967d063eb287445A1eccac5C2E09BC  # SAFE_DROP PFAN 0 transfers; low provenance (lifi)
1 0x21E19121e1360e09AA1F810280c97A87b85d1069  # SAFE_DROP GFIN 0 transfers; low provenance (lifi)
1 0x22ACaEe85dDB83a3A33B7f0928a0e2c3bFDb6a4F  # SAFE_DROP PRXY 0 transfers; low provenance (lifi)
1 0x22cC732cbca457F6811295bCE75B01822544bA52  # SAFE_DROP eUSDT-27 0 transfers; low provenance (lifi)
1 0x22Dc5bF8c830f0DA8D178347548Fa5dCeb3DeED3  # SAFE_DROP PT-ynUSDx-30APR2026 0 transfers; low provenance (lifi)
1 0x22eed7C25A35D40255cd80d3B67A2F8742f94443  # SAFE_DROP eUSDe-7 0 transfers; low provenance (lifi)
1 0x2306e17C7198282985a95b1cE0f63820846d0290  # SAFE_DROP einwstETHs-3 0 transfers; low provenance (lifi)
1 0x2336C10a1D3100343fA9911a2c57b77c333599A3  # SAFE_DROP tMATIC 0 transfers; low provenance (lifi)
1 0x236ECfb32C2b496f942c86d43B8cA4F6Bd931e30  # SAFE_DROP MORC 0 transfers; low provenance (lifi)
1 0x23e0D07095DAec91B6Ae016cA9F08222dCc64c49  # SAFE_DROP PT-USR-4DEC2025 0 transfers; low provenance (lifi)
