# ERC-20 impersonator denylist — (chain_id, address) pairs excluded from the token db.
# Generated by tools/scan_erc20_impersonators.py (offline symbol-collision scan).
# Each token wears a curated ticker at a non-canonical address vouched only by a
# low-trust source (overwhelmingly Li.Fi). Consumed by tools/build_erc20_db.py.
# Format: <chain_id> <address>  # <severity> <symbol> impersonates <real_symbol>
1 0x597aD1e0c13Bfe8025993D9e79C69E1c0233522e  # MEDIUM yUSDC impersonates YUSDC (real 0x26EA744E5B887E5205727f55dFBE8685e3b21951)
1 0x59A19D8c652FA0284f44113D0ff9aBa70bd46fB4  # MEDIUM BPT impersonates BPT (real 0x0eC9F76202a7061eB9b3a7D6B59D36215A7e37da)
1 0x5Af2Be193a6ABCa9c8817001F45744777Db30756  # MEDIUM VGX impersonates VGX (real 0x3C4B6E6e1eA3D4863700D7F76b36B7f3D3f13E3d)
1 0x5C20B550819128074FD538Edf79791733ccEdd18  # MEDIUM fUSDT impersonates FUSDT (real 0xADc234a4e90E2045f353F5d4fCdE66144d23b458)
1 0x5C84bc60a796534bfeC3439Af0E6dB616A966335  # MEDIUM Bone impersonates BONE (real 0x7076De6fF1d91e00Be7E92458089C833De99E22E)
1 0x5f18C75AbDAe578b483E5F43f12a39cF75b973a9  # MEDIUM yvUSDC impersonates YVUSDC (real 0xa354F35829Ae975e850e23e9615b11Da1B3dC4DE)
1 0x6076aeDbE9Af4E70550c341842bab5624b12395E  # MEDIUM IMT impersonates IMT (real 0xe2616122eD554bd693335E9143C47Df187a86EF3)
1 0x62199B909FB8B8cf870f97BEf2cE6783493c4908  # MEDIUM pBTC impersonates PBTC (real 0x5228a22e72ccC52d415EcFd199F99D0665E7733b)
1 0x628eBC64A38269E031AFBDd3C5BA857483B5d048  # MEDIUM LSETH impersonates LSETH (real 0x8c1BEd5b9a0928467c9B1341Da1D7BD5e10b6549)
1 0x62fE596d59fB077c2Df736dF212E0AFfb522dC78  # MEDIUM CSUSDC impersonates CSUSDC (real 0x7204B7Dbf9412567835633B6F00C3Edc3a8D6330)
1 0x63f88A2298a5c4AEE3c216Aa6D926B184a4b2437  # MEDIUM GAME impersonates GAME (real 0x825459139C897D769339f295E962396C4F9E4A4D)
1 0x64Bd8cA0d2603955Dc7AF63Dba4899968848A121  # MEDIUM DFYN impersonates DFYN (real 0x9695e0114e12C0d3A3636fAb5A18e6b737529023)
1 0x676CdC3312d0350749bed17CD3eB3B90E5917F42  # MEDIUM BONDLY impersonates BONDLY (real 0x91dFbEE3965baAEE32784c2d546B7a0C62F268c9)
1 0x6867958907fb5A7064748388221da5209184409E  # MEDIUM BOBA impersonates BOBA (real 0x42bBFa2e77757C645eeaAd1655E0911a7553Efbc)
1 0x695106Ad73f506f9D0A9650a78019A93149AE07C  # MEDIUM BNS impersonates BNS (real 0x19E2a43Fbbc643C3B2D9667D858D49cAd17bc2b5)
1 0x6b6b870C7f449266a9F40F94eCa5A6fF9b0857E4  # HIGH tBTC impersonates TBTC (real 0x18084fbA666a33d37592fA2633fD49a74DD93a88)
1 0x6c5fbc90E4D78F70Cc5025dB005B39B03914fC0c  # MEDIUM URUS impersonates URUS (real 0xc6DdDB5bc6E61e0841C54f3e723Ae1f3A807260b)
1 0x6D0081857009Cb79014Df13E34FC49192F66AeE1  # MEDIUM CELO impersonates CELO (real 0x3294395e62F4eB6aF3f1Fcf89f5602D90Fb3Ef69)
1 0x6f58A1Aa0248A9F794d13Dc78E74Fc75140956D7  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x745407c86DF8DB893011912d3aB28e68B62E49B0  # MEDIUM MAHA impersonates MAHA (real 0xF7554EAC0bF20d702E69d08C425E817ABb976AeA)
1 0x75741A12B36D181f44F389E0c6B1E0210311e3Ff  # MEDIUM steakEURCV impersonates STEAKEURCV (real 0xbeEF07E929F84466a591De130e4154667214F491)
1 0x760166FA4f227dA29ecAC3BeC348f5fA853a1f3C  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x7645DdfEecedA57e41f92679c4aCd83c56A81D14  # MEDIUM FLUX impersonates FLUX (real 0x469eDA64aEd3A3Ad6f868c44564291aA415cB1d9)
1 0x76C4A2B59523eaE19594c630aAb43288dBB1463f  # MEDIUM IRIS impersonates IRIS (real 0xEA87148a703ADc0DE89dB2aC2b6b381093aE8ee0)
1 0x76e46becfF74F5f1d3Ef96d7574230AEBa73e5D8  # MEDIUM YEE impersonates YEE (real 0x9Ac9468E7E3E1D194080827226B45d0B892C77Fd)
1 0x76Eb2FE28b36B3ee97F3Adae0C69606eeDB2A37c  # MEDIUM iUSDC impersonates IUSDC (real 0xc8871267e07408b89aA5aEcc58AdCA5E574557F8)
1 0x77f973FCaF871459aa58cd81881Ce453759281bC  # MEDIUM iETH impersonates IETH (real 0xc383a3833A87009fD9597F8184979AF5eDFad019)
1 0x7825dE5586E4d2FD04459091bbe783fa243E1bf3  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x79126d32a86e6663F3aAac4527732d0701c1AE6c  # MEDIUM DMT impersonates DMT (real 0x0B7f0e51Cd1739D6C96982D55aD8fA634dd43A9C)
1 0x795065dCc9f64b5614C407a6EFDC400DA6221FB0  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x79C75E2e8720B39e258F41c37cC4f309E0b0fF80  # MEDIUM SOUL impersonates SOUL (real 0x75858677e27C930FB622759FeafFeE2b754Af07F)
1 0x7a4c2C39e25ca0D6A1Ac4af14dD601c2A7eDA8Ae  # MEDIUM clBTC impersonates CLBTC (real 0xE7ae30C03395D66F30A26C49c91edAe151747911)
1 0x7b123f53421b1bF8533339BFBdc7C98aA94163db  # MEDIUM buidl impersonates BUIDL (real 0x7712c34205737192402172409a8F7ccef8aA2AEc)
1 0x7b35Ce522CB72e4077BaeB96Cb923A5529764a00  # MEDIUM IMX impersonates IMX (real 0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF)
1 0x7B504a15ef05F4EED1C07208C5815c49022A0C19  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x7BEC98609cB6378D6F995e8f8097Ee78376fbec9  # MEDIUM LM impersonates LM (real 0xc064F4F215B6A1E4e7F39bD8530C4dE0fC43ee9D)
1 0x7d647b1A0dcD5525e9C6B3D14BE58f27674f8c95  # MEDIUM BYTES impersonates BYTES (real 0xa19f5264F7D7Be11c451C093D8f92592820Bea86)
1 0x7Da96a3891Add058AdA2E826306D812C638D87a7  # MEDIUM yvUSDT impersonates YVUSDT (real 0x3B27F92C0e212C671EA351827EDF93DB27cc0c65)
1 0x7DEB49977f6b6282Fb6d236fCb81Ab02Ae461eD4  # MEDIUM TRDL impersonates TRDL (real 0x297D33e17e61C2Ddd812389C2105193f8348188a)
1 0x7E586fBaF3084C0be7aB5C82C04FfD7592723153  # MEDIUM xETH impersonates XETH (real 0xe063F04f280c60aECa68b38341C2eEcBeC703ae2)
1 0x7f1F2D3dFa99678675ECE1C243d3f7bC3746db5D  # MEDIUM TAP impersonates TAP (real 0x594DD710e3BEf17CB0585FFb863e0Fc9E0f257aB)
1 0x7F47F6F695dDF8316f368a8A99122A081e118bd0  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x7f8F7Dd53D1F3ac1052565e3ff451D7fE666a311  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x84810bcF08744d5862B8181f12d17bfd57d3b078  # MEDIUM SGT impersonates SGT (real 0x5b649C07E7Ba0a1C529DEAabEd0b47699919B4a2)
1 0x865ec58b06bF6305B886793AA20A2da31D034E68  # MEDIUM MOC impersonates MOC (real 0x8bBfe65E31B348Cd823C62e02Ad8C19a84dD0DAB)
1 0x86f518368E0d49d5916e2BD9EB162E9952b7b04d  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x87761e886399EF8e1624cb0DB3230B075a322c88  # MEDIUM CBK impersonates CBK (real 0xD85a6Ae55a7f33B0ee113C234d2EE308EdeAF7fD)
1 0x88303FeD02b31dB9C7a9eafB711dA9eF4A03e5D3  # MEDIUM ZIK impersonates ZIK (real 0xD4419C2d3DAA986Dc30444Fa333a846be44Fd1eb)
1 0x88EF27e69108B2633F8E1C184CC37940A075cC02  # MEDIUM DEGO impersonates DEGO (real 0x3Da932456D082CBa208FEB0B096d49b202Bf89c8)
1 0x89c53B02558E4D1c24b9Bf3beD1279871187EF0B  # MEDIUM CHAIN impersonates CHAIN (real 0xC4C2614E694cF534D407Ee49F8E44D125E4681c4)
1 0x8a3d77e9d6968b780564936d15B09805827C21fa  # MEDIUM UCO impersonates UCO (real 0x1A688D3d294ee7BcC1f59011DE93d608Dc21c377)
1 0x8cC379A292a47Cb8406Fb1bd8a6D98f442275f0e  # MEDIUM U impersonates U (real 0xba5eD44733953d79717F6269357C77718C8Ba5ed)
1 0x8D5DB0c1f0681071Cb38A382AE6704588D9DA587  # MEDIUM PROPHET impersonates PROPHET (real 0x3fa55eB91bE2C5d72890da11A4C0269e7f786555)
1 0x8DBa46033E872feeB7480b4F5031916D85317494  # MEDIUM SYBTC impersonates SYBTC (real 0x01a8b61E7b03891a736B5DF865E0EF9C511850ad)
1 0x8dcaec45365e5AdA5676073a07B418C2f538145a  # MEDIUM SHELL impersonates SHELL (real 0xf2c88757f8d03634671208935974B60a2a28Bdb3)
1 0x8e595470Ed749b85C6F7669de83EAe304C2ec68F  # MEDIUM iDAI impersonates IDAI (real 0x40a9d39aa50871Df092538c5999b107f34409061)
1 0x8fB00FDeBb4E83f2C58b3bcD6732AC1B6A7b7221  # MEDIUM ORN impersonates ORN (real 0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a)
1 0x9041Fe5B3FDEA0f5e4afDC17e75180738D877A01  # MEDIUM PRO impersonates PRO (real 0x226bb599a12C826476e3A771454697EA52E9E220)
1 0x9323161fAF56dd09Cb32ace72c20DBD96B96D386  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x93dfaf57D986B9cA77Df9376c50878E013D9c7C8  # MEDIUM RARE impersonates RARE (real 0xba5BDe662c17e2aDFF1075610382B9B691296350)
1 0x94cA37d108E89775dC8ae65F51AE28c2d9599f9A  # MEDIUM CRTS impersonates CRTS (real 0x678e840C640F619E17848045D23072844224dD37)
1 0x9911b111860bd8A611C2A6654Ff38208208055D4  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x998BF04788C1c631C0e02BD1eED3D945308Bf0a3  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
